wkt_geom,fid,FIELD_ID,SINGLE_NUM,OID_T,SHAPE_AREA,SHAPE_LEN,xcoord,ycoord
Point (141974.44754319475032389 668988.99963152629788965),667,BN1,1,688,0,0,141974.4475,668988.9996
Point (141964.93534516138606705 646607.32468963321298361),162,AB39,39,163,0,0,141964.9353,646607.3247
Point (141934.35515239927917719 667212.79762422351632267),2213,LT6,6,1514,0,0,141934.3552,667212.7976
Point (141924.8614006252028048 667444.32858441222924739),1974,LT3,3,1507,0,0,141924.8614,667444.3286
Point (141880.94346219050930813 672565.8615229754941538),15,BN19,19,2,0,0,141880.9435,672565.8615
Point (141880.59857750954688527 669825.48110188404098153),746,BN37,37,713,0,0,141880.5986,669825.4811
Point (141877.19180871418211609 668169.58716151549015194),1350,KL24,24,1348,0,0,141877.1918,668169.5872
Point (141875.75418720758170821 668327.45305820205248892),1148,KL22,22,1346,0,0,141875.7542,668327.4531
Point (141847.61676183305098675 668817.51410423580091447),733,BN22,22,700,0,0,141847.6168,668817.5141
Point (141847.09340922263800167 667740.55677533615380526),1452,KL28,28,1352,0,0,141847.0934,667740.5568
Point (141828.73879678369848989 669377.45530278922524303),741,BN30,30,708,0,0,141828.7388,669377.4553
Point (141825.53193377086427063 668542.85952270391862839),1469,KL2,2,1343,0,0,141825.5319,668542.8595
Point (141825.29889700232888572 667132.8496970817213878),2234,LT8,8,1516,0,0,141825.2989,667132.8497
Point (141819.63717088528210297 665476.12177114083897322),2116,LT31,31,1509,0,0,141819.6372,665476.1218
Point (141788.11328374108416028 667907.37786050396971405),1468,KL19,19,1342,0,0,141788.1133,667907.3779
Point (141781.96305117590236478 646997.05133669509086758),187,AB43,43,166,0,0,141781.9631,646997.0513
Point (141780.4784434731118381 672225.16709691507276148),739,BN29,29,706,0,0,141780.4784,672225.1671
Point (141754.63859238181612454 667343.26891598082147539),2212,LT5,5,1513,0,0,141754.6386,667343.2689
Point (141747.90000305458670482 668029.57494452851824462),1351,KL25,25,1349,0,0,141747.9,668029.5749
Point (141737.08548018164583482 668926.19175635743886232),732,BN21,21,699,0,0,141737.0855,668926.1918
Point (141729.85875329570262693 646586.79555549775250256),161,AB38,38,162,0,0,141729.8588,646586.7956
Point (141714.08902737055905163 666908.48014200187753886),2209,LT13,13,1489,0,0,141714.089,666908.4801
Point (141700.80019237892702222 668394.48326034261845052),1454,KL3,3,1354,0,0,141700.8002,668394.4833
Point (141692.2329262399871368 665261.96927469002548605),2210,LT33,33,1511,0,0,141692.2329,665261.9693
Point (141690.54065751214511693 665485.90571800875477493),2115,LT30,30,1508,0,0,141690.5407,665485.9057
Point (141667.82283481652848423 668985.79407373175490648),731,BN20,20,698,0,0,141667.8228,668985.7941
Point (141664.83457069579162635 646319.96958028944209218),189,AB6,6,168,0,0,141664.8346,646319.9696
Point (141663.27220565438619815 668671.12857426214031875),734,BN23,23,701,0,0,141663.2722,668671.1286
Point (141657.44279532515793107 647154.06374538934323937),159,AB36,36,160,0,0,141657.4428,647154.0637
Point (141640.33396826667012647 667248.03188806830439717),2214,LT7,7,1515,0,0,141640.334,667248.0319
Point (141639.78877706540515646 646819.94139831548091024),102,AB35,35,159,0,0,141639.7888,646819.9414
Point (141597.66769345072680153 646641.61192825553007424),186,AB42,42,165,0,0,141597.6677,646641.6119
Point (141584.78562575910473242 672262.99564086517784745),729,BN18,18,696,0,0,141584.7856,672262.9956
Point (141583.95187912479741499 667566.70400262984912843),1372,KL27,27,1351,0,0,141583.9519,667566.704
Point (141575.96682014124235138 668606.62764751305803657),735,BN24,24,702,0,0,141575.9668,668606.6276
Point (141564.61115795947262086 665420.19839553907513618),2329,LT29,29,1506,0,0,141564.6112,665420.1984
Point (141563.54324067899142392 666660.30095829325728118),2220,LT17,17,1493,0,0,141563.5432,666660.301
Point (141560.6802191661845427 668412.93367056956049055),1413,KL4,4,1362,0,0,141560.6802,668412.9337
Point (141560.34846428263699636 667008.4469297785544768),2208,LT12,12,1488,0,0,141560.3485,667008.4469
Point (141557.30204059238894843 668175.18249183939769864),1501,KL6,6,1364,0,0,141557.302,668175.1825
Point (141537.68258724093902856 667827.67509638052433729),1371,KL26,26,1350,0,0,141537.6826,667827.6751
Point (141515.87409384688362479 667186.86899535777047276),2235,LT9,9,1517,0,0,141515.8741,667186.869
Point (141508.93470295052975416 668561.32594184053596109),736,BN25,25,703,0,0,141508.9347,668561.3259
Point (141460.58973512597731315 668291.2599479005439207),1208,KL5,5,1363,0,0,141460.5897,668291.2599
Point (141459.81991068663774058 666523.97899046470411122),2221,LT18,18,1494,0,0,141459.8199,666523.979
Point (141442.83922452709521167 646673.31012579530943185),101,AB34,34,158,0,0,141442.8392,646673.3101
Point (141437.49539987798198126 668822.51164765446446836),701,BN38,38,714,0,0,141437.4954,668822.5116
Point (141429.9747129890602082 646249.10235643514897674),188,AB5,5,167,0,0,141429.9747,646249.1024
